sentence1,sentence2,similarity
"Ein Ausgetretenes und dort gehegtes Stück Schalenwild ist ausschließlich derjenige zum Ersatz verpflichtet, dem als Jagdausübungsberechtigten Eigentümer oder Nutznießer die Aufsicht über das Gehege obliegt.",Wird durch ein aus einem Gehege ausgetretenes und dort gehegtes Stück Schalenwild Wildschaden angerichtet so ist ausschließlich derjenige zum Ersatz verpflichtet dem als Jagdausübungsberechtigten Eigentümer oder Nutznießer die Aufsicht über das Gehege obliegt.,perfekt
"Eigentümer darf das Ablösungsrecht erst nach vorgängiger Kündigung ausüben. Die Kündigungsfrist beträgt sechs Monate. Eine Beschränkung des Kündigungsrechts ist nur soweit zulässig, dass der Eigentümer nach 30 Jahren unter Einhaltung der sechsmonatigen Frist kündigen kann. Hat der Eigentümer g",Der Eigentümer kann das Ablösungsrecht erst nach vorgängiger Kündigung ausüben. Die Kündigungsfrist beträgt sechs Monate wenn nicht ein anderes bestimmt ist. Eine Beschränkung des Kündigungsrechts ist nur soweit zulässig dass der Eigentümer nach 30 Jahren unter Einhaltung der sechsmonatigen Frist kündigen kann. Hat der Eigentümer gekündigt so kann der Gläubiger nach dem Ablauf der Kündigungsfrist die Zahlung der Ablösungssumme aus dem Grundstück verlangen.,perfekt
Beamtinnen und Beamten müssen auf die Folgen verkürzter Arbeitszeiten oder langfristiger Beurlaubungen hinweisen.,Wird eine Verkürzung der Arbeitszeit oder eine langfristige Beurlaubung beantragt sind die Beamtinnen und Beamten auf die Folgen verkürzter Arbeitszeit oder langfristiger Beurlaubungen hinzuweisen insbesondere auf die Folgen für Ansprüche aufgrund beamtenrechtlicher Regelungen sowie auf die Möglichkeit einer Befristung mit Verlängerung und deren Folgen.,perfekt
"Wenn der Darlehensgeber oder Darlehensnehmer einen Sachdarlehensvertrag kündigt, kann dieser jederzeit vollständig oder teilweise kündigt werden.",Durch den Behandlungsvertrag wird derjenige welcher die medizinische Behandlung eines Patienten zusagt (Behandelnder) zur Leistung der versprochenen Behandlung der andere Teil (Patient) zur Gewährung der vereinbarten Vergütung verpflichtet soweit nicht ein Dritter zur Zahlung verpflichtet ist. Die Behandlung hat nach den zum Zeitpunkt der Behandlung bestehenden allgemein anerkannten fachlichen Standards zu erfolgen soweit nicht etwas anderes vereinbart ist.,widerspruch
"Die Datenaustausch zwischen Betreibern von Gasversorgungsnetzen, Marktgebietsverantwortlichen Messstellenbetreibern Messdienstleistern und Netznutzern erfolgt elektronisch.",Die in § 5 genannten Fertigkeiten und Kenntnisse sollen unter Berücksichtigung der Schwerpunkte Geotechnik Mörtel- und Betontechnik sowie Asphalttechnik nach der in der Anlage enthaltenen Anleitung zur sachlichen und zeitlichen Gliederung der Berufsausbildung (Ausbildungsrahmenplan) vermittelt werden. Eine von dem Ausbildungsrahmenplan abweichende sachliche und zeitliche Gliederung des Ausbildungsinhaltes ist insbesondere zulässig soweit betriebspraktische Besonderheiten die Abweichung erfordern.,widerspruch
Insolvenzplan kann abweichen von Vorschriften dieses Gesetzes.,Die Befriedigung der absonderungsberechtigten Gläubiger und der Insolvenzgläubiger die Verwertung der Insolvenzmasse und deren Verteilung an die Beteiligten sowie die Verfahrensabwicklung und die Haftung des Schuldners nach der Beendigung des Insolvenzverfahrens können in einem Insolvenzplan abweichend von den Vorschriften dieses Gesetzes geregelt werden. Ist der Schuldner keine natürliche Person so können auch die Anteils- oder Mitgliedschaftsrechte der am Schuldner beteiligten Personen in den Plan einbezogen werden.,perfekt
Ehrenamt ist ehrenamtlich.,Ein Kreiswahlvorschlag kann nach Ablauf der Einreichungsfrist nur durch gemeinsame schriftliche Erklärung der Vertrauensperson und der stellvertretenden Vertrauensperson und nur dann geändert werden wenn der Bewerber stirbt oder die Wählbarkeit verliert. Das Verfahren nach § 21 braucht nicht eingehalten zu werden der Unterschriften nach § 20 Abs. 2 und 3 bedarf es nicht. Nach der Entscheidung über die Zulassung eines Kreiswahlvorschlages (§ 26 Abs. 1 Satz 1) ist jede Änderung ausgeschlossen.,widerspruch
"Pfandgläubiger und Gläubiger, die gleichrangig sind, sowie Gläubiger, die bei der Zwangsvollstreckung in das unbewegliche Vermögen ein Recht auf Befriedigung aus diesem Vermögen haben.Werden die Gegenstände, die zur Befriedigung von Pfandgläubigern gehören, von Gläubigern ausgebeutet, so ist dies ke",Der Nachlassverwalter hat den Nachlass zu verwalten und die Nachlassverbindlichkeiten aus dem Nachlass zu berichtigen. Der Nachlassverwalter ist für die Verwaltung des Nachlasses auch den Nachlassgläubigern verantwortlich. Die Vorschriften des § 1978 Abs. 2 und der §§ 1979 1980 finden entsprechende Anwendung.,widerspruch
"Miterbe ist verpflichtet, Auskunft über Zuwendungen zu erteilen, auf Verlangen.",Hat der Erblasser seine Kinder ohne nähere Bestimmung bedacht und ist ein Kind vor der Errichtung des Testaments mit Hinterlassung von Abkömmlingen gestorben so ist im Zweifel anzunehmen dass die Abkömmlinge insoweit bedacht sind als sie bei der gesetzlichen Erbfolge an die Stelle des Kindes treten würden.,widerspruch
"Miterben haben bei der Auseinandersetzung den Wert der Zuwendungen anzurechnen, die zur Ausgleichung zu bringen sind.",Bei der Auseinandersetzung wird jedem Miterben der Wert der Zuwendung die er zur Ausgleichung zu bringen hat auf seinen Erbteil angerechnet. Der Wert der sämtlichen Zuwendungen die zur Ausgleichung zu bringen sind wird dem Nachlass hinzugerechnet soweit dieser den Miterben zukommt unter denen die Ausgleichung stattfindet. Der Wert bestimmt sich nach der Zeit zu der die Zuwendung erfolgt ist.,perfekt
"Wenn der Vorerbe ohne Zustimmung des Nacherben einen Gegenstand besitzt, so ist dieses Eigentum auf den Nacherben übergegangen.",Ist die Geltendmachung einer nicht von einer Gegenleistung abhängigen Geldforderung oder die Geltendmachung des Anspruchs auf Räumung eines Grundstücks oder eines Raumes der anderen als Wohnzwecken dient an den Eintritt eines Kalendertages geknüpft so kann Klage auf künftige Zahlung oder Räumung erhoben werden.,widerspruch
"Versicherer leistungsfrei, wenn Voraussetzungen der Leistungspflicht entfallen.",Stellt der Versicherer fest dass die Voraussetzungen der Leistungspflicht entfallen sind wird er nur leistungsfrei wenn er dem Versicherungsnehmer diese Veränderung in Textform dargelegt hat. Der Versicherer wird frühestens mit dem Ablauf des dritten Monats nach Zugang der Erklärung nach Absatz 1 beim Versicherungsnehmer leistungsfrei.,perfekt
Seelotsenanwärter wird bestallt.,Nach bestandener Prüfung ist der Seelotsenanwärter von der Aufsichtsbehörde durch Aushändigung einer Urkunde zum Seelotsen zu bestallen. § 3a des Verwaltungsverfahrensgesetzes findet keine Anwendung. Bei der Bestallung ist der Seelotse auf die gewissenhafte Ausübung seines Berufes zu verpflichten.,perfekt
"Die Androhung darf erst nachdem die Berechtigung zum Verkauf eingetreten ist. Sie darf nicht vor dem Ablauf eines Monats nach der Androhung erfolgen. Wenn die Androhung untunlich ist, wird der Monat vom Eintritt der Berechtigung abgerechnet.",Die Veräußerung des Pfandes ist nicht rechtmäßig wenn gegen die Vorschriften des § 1228 Abs. 2 des § 1230 Satz 2 des § 1235 des § 1237 Satz 1 oder des § 1240 verstoßen wird. Verletzt der Pfandgläubiger eine andere für den Verkauf geltende Vorschrift so ist er zum Schadensersatz verpflichtet wenn ihm ein Verschulden zur Last fällt.,widerspruch
Der Unternehmer darf die Zahlungen des Verbrauchers nicht vor Ablauf der Widerrufsfrist fordern oder annehmen.,Der Schenker ist berechtigt die Erfüllung eines schenkweise erteilten Versprechens zu verweigern soweit er bei Berücksichtigung seiner sonstigen Verpflichtungen außerstande ist das Versprechen zu erfüllen ohne dass sein angemessener Unterhalt oder die Erfüllung der ihm kraft Gesetzes obliegenden Unterhaltspflichten gefährdet wird. Treffen die Ansprüche mehrerer Beschenkten zusammen so geht der früher entstandene Anspruch vor.,widerspruch
"Die Jagdbeiräte müssen Vertreter von Landwirtschaft, Forstwirtschaft, Jagdgenossenschaften und Naturschutz angehören.",Sonstige begünstigte Anlagen sind Arbeitsmaschinen und Fahrzeuge die ausschließlich dem Güterumschlag in Seehäfen dienen. Als Arbeitsmaschinen und Fahrzeuge im Sinne des Absatzes 1 gelten ausschließlich solche die bestimmungsgemäß abseits von öffentlichen Straßen eingesetzt werden oder über keine Genehmigung für die überwiegende Verwendung auf öffentlichen Straßen verfügen.,widerspruch
"Führer eines Luftfahrzeugs oder sonst für die Sicherheit Verantwortlicher, der gegen eine im Rahmen der Luftaufsicht erlassene Verfügung verstößt, wird mit Freiheitsstrafe bis zu 5 Jahren oder mit Geldstrafe bestraft. Fahrlässig begeht der Täter die Tat, so bestraft er sich mit Freiheitsstrafe bis zu 2 Jahren.",Wer als Führer eines Luftfahrzeugs oder als sonst für die Sicherheit Verantwortlicher durch grob pflichtwidriges Verhalten gegen eine im Rahmen der Luftaufsicht erlassene Verfügung (§ 29) verstößt und dadurch Leib oder Leben eines anderen oder fremde Sachen von bedeutendem Wert gefährdet wird mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe bestraft. Wer die Tat fahrlässig begeht wird mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.,perfekt
Beteiligter auf Antrag erhält Verfahrenskostenhilfe.,Im Verfahren vor dem Patentgericht erhält ein Beteiligter auf Antrag unter entsprechender Anwendung der §§ 114 bis 116 der Zivilprozessordnung Verfahrenskostenhilfe. Im Übrigen sind § 130 Absatz 2 und 3 sowie die §§ 133 bis 137 des Patentgesetzes entsprechend anzuwenden.,perfekt
Luftsperrgebiete und Gebiete mit Flugbeschränkungen können vorübergehend oder dauernd gesperrt werden.,Bestimmte Lufträume können vorübergehend oder dauernd für den Luftverkehr gesperrt werden (Luftsperrgebiete). In bestimmten Lufträumen kann der Durchflug von Luftfahrzeugen besonderen Beschränkungen unterworfen werden (Gebiete mit Flugbeschränkungen).,perfekt
"Eltern können einen Vormund nur benennen, wenn sie zur Zeit des Todes der Person oder des Vermögens des Kindes zustehen. Der Vater kann für ein Kind das erst nach seinem Tode geboren wird einen Vormund benennen, wenn er von dem Kind einen offiziellen Antrag gemacht hat.","Ist eine als ehrenamtlicher Einzelvormund geeignete Person nicht vorhanden, so kann auch das Jugendamt zum Vormund bestellt werden. Das Jugendamt kann von den Eltern des Mündels weder benannt noch ausgeschlossen werden. Die Bestellung erfolgt durch Beschluss des Familiengerichts; die §§ 1789, 1791 sind nicht anzuwenden.",widerspruch
Die Besetzung des Senats des Anwaltsgerichtshofes wird von fünf Mitgliedern bestimmt.,"Örtlich zuständig ist der Anwaltsgerichtshof, der für den Oberlandesgerichtsbezirk errichtet ist, in dem der Verwaltungsakt erlassen wurde oder zu erlassen wäre; für hoheitliche Maßnahmen, die berufsrechtliche Rechte und Pflichten der Beteiligten beeinträchtigen oder verwirklichen, gilt dies sinngemäß. In allen anderen Angelegenheiten ist der Anwaltsgerichtshof zuständig, der für den Oberlandesgerichtsbezirk errichtet ist, in dem der Beklagte seinen Sitz, seine Kanzlei oder ansonsten seinen Wohnsitz hat.",widerspruch
"Die Niederschrift soll enthalten: 1. die Bezeichnung des Notars und der Beteiligten sowie 2. die Erklärungen der Beteiligten. Erklärungen, die in einem Schriftstück auf das in der Niederschrift verwiesen und das dieser beigefügt wird, gelten als in der Niederschrift selbst enthalten.",Vermag ein Beteiligter nach seinen Angaben oder nach der Überzeugung des Notars nicht hinreichend zu hören zu sprechen oder zu sehen so soll zu der Beurkundung ein Zeuge oder ein zweiter Notar zugezogen werden es sei denn daß alle Beteiligten darauf verzichten. Auf Verlangen eines hör- oder sprachbehinderten Beteiligten soll der Notar einen Gebärdensprachdolmetscher hinzuziehen. Diese Tatsachen sollen in der Niederschrift festgestellt werden. Die Niederschrift soll auch von dem Zeugen oder dem zweiten Notar unterschrieben werden.,widerspruch
Gesellschafter kann Geschäftsabschluss erst nach Auflösung der Gesellschaft verlangen.,Ein Gesellschafter kann den Rechnungsabschluss und die Verteilung des Gewinns und Verlustes erst nach der Auflösung der Gesellschaft verlangen. Ist die Gesellschaft von längerer Dauer so hat der Rechnungsabschluss und die Gewinnverteilung im Zweifel am Schluss jedes Geschäftsjahrs zu erfolgen.,perfekt
"Der Bundesnachrichtendienst hat für jede automatisierte Datei mit personenbezogenen Daten eine Dateianordnung nach § 14 des Bundesverfassungsschutzgesetzes zu treffen, die der Zustimmung des Bundeskanzleramtes bedarf. § 14 Abs 2 und 3 des Bundesverfassungsschutzgesetzes ist anzuwenden.",Der Bundesnachrichtendienst hat für jede automatisierte Datei mit personenbezogenen Daten eine Dateianordnung nach § 14 des Bundesverfassungsschutzgesetzes zu treffen die der Zustimmung des Bundeskanzleramtes bedarf. § 14 Abs 2 und 3 des Bundesverfassungsschutzgesetzes ist anzuwenden.,perfekt
"Widerrufsrecht beginnt nicht vor dem Zeitpunkt, an dem der Unternehmer den Verbraucher über sein Widerrufsrecht unterrichtet.",Bei einem Ratenlieferungsvertrag der weder im Fernabsatz noch außerhalb von Geschäftsräumen geschlossenen wird beginnt die Widerrufsfrist nicht bevor der Unternehmer den Verbraucher gemäß Artikel 246 Absatz 3 des Einführungsgesetzes zum Bürgerlichen Gesetzbuche über sein Widerrufsrecht unterrichtet hat. § 356 Absatz 1 gilt entsprechend. Das Widerrufsrecht erlischt spätestens zwölf Monate und 14 Tage nach dem in § 355 Absatz 2 Satz 2 genannten Zeitpunkt.,perfekt
"Notar ist auch der nach dem badischen Landesgesetz über die freiwillige Gerichtsbarkeit bestellte Notar, der eine freiwillige Tätigkeit ausübt.",Motorgetriebene Luftfahrzeuge müssen eine ausreichende Betriebsstoffmenge mitführen die unter Berücksichtigung der Wetterbedingungen und der zu erwartenden Verzögerungen die sichere Durchführung des Fluges gewährleistet. Darüber hinaus muß eine Betriebsstoffreserve mitgeführt werden die für unvorhergesehene Fälle und für den Flug zum Ausweichflugplatz zur Verfügung steht sofern ein Ausweichflugplatz im Flugplan angegeben ist.,widerspruch
"Übertragungsnetzbetreiber haftet nicht für Schäden, die nicht vorsätzlich verursacht wurden. Bei Schäden, die über 100 Millionen Euro betragen, wird der Schadensersatz in dem Verhältnis gekürzt, in dem die Summe aller Schadensersatzansprüche zur Höchstgrenze steht.",Die Haftung des anbindungsverpflichteten Übertragungsnetzbetreibers gegenüber Betreibern von Windenergieanlagen auf See für nicht vorsätzlich verursachte Sachschäden ist je Schadensereignis insgesamt begrenzt auf 100 Millionen Euro. Übersteigt die Summe der Einzelschäden bei einem Schadensereignis die Höchstgrenze nach Satz 1 so wird der Schadensersatz in dem Verhältnis gekürzt in dem die Summe aller Schadensersatzansprüche zur Höchstgrenze steht.,perfekt
"Wer durch eine Straftat oder eine zur Erbschaft gehörende Sache verbotene Eigenmacht erlangt hat, ist mit Schadensersatzverpflichtungen nach den Regeln über den Schadensersatz wegen unerlaubter Handlungen zu rechnen. Ein gutgläubiger Erbschaftsbesitzer ist jedoch nur dann mit Schadensersatzverpflichtungen nach denselben Vorschr",Gehört ein Anspruch zum Nachlass so kann der Verpflichtete nur an alle Erben gemeinschaftlich leisten und jeder Miterbe nur die Leistung an alle Erben fordern. Jeder Miterbe kann verlangen dass der Verpflichtete die zu leistende Sache für alle Erben hinterlegt oder wenn sie sich nicht zur Hinterlegung eignet an einen gerichtlich zu bestellenden Verwahrer abliefert.,widerspruch
"Er ist verpflichtet, den aufgewendeten Betrag oder wenn andere Gegenstände als Geld aufgewendet worden sind den als Ersatz ihres Wertes zu zahlen. Sie sollten diesen Betrag auf jeden Fall zum Zinszahlungstermin verzinsen.",Gegenüber der Klage des Gläubigers hat die Geltendmachung des Zurückbehaltungsrechts nur die Wirkung dass der Schuldner zur Leistung gegen Empfang der ihm gebührenden Leistung (Erfüllung Zug um Zug) zu verurteilen ist. Auf Grund einer solchen Verurteilung kann der Gläubiger seinen Anspruch ohne Bewirkung der ihm obliegenden Leistung im Wege der Zwangsvollstreckung verfolgen wenn der Schuldner im Verzug der Annahme ist.,widerspruch
Der Gerichtshof muss die Ausländerbehörde in Form einer anonymisierten schriftlichen Mitteilung über die Entscheidung des Verfahrens informieren.,Das Berufsausbildungsverhältnis endet mit dem Ablauf der Ausbildungszeit. Im Falle der Stufenausbildung endet es mit Ablauf der letzten Stufe. Bestehen Auszubildende vor Ablauf der Ausbildungszeit die Abschlussprüfung so endet das Berufsausbildungsverhältnis mit Bekanntgabe des Ergebnisses durch den Prüfungsausschuss. Bestehen Auszubildende die Abschlussprüfung nicht so verlängert sich das Berufsausbildungsverhältnis auf ihr Verlangen bis zur nächstmöglichen Wiederholungsprüfung höchstens um ein Jahr.,widerspruch
Der Name soll sich von den Namen der an demselben Ort oder in derselben Gemeinde bestehenden eingetragenen Vereine deutlich unterscheiden.,Sinkt die Zahl der Vereinsmitglieder unter drei herab so hat das Amtsgericht auf Antrag des Vorstands und wenn der Antrag nicht binnen drei Monaten gestellt wird von Amts wegen nach Anhörung des Vorstands dem Verein die Rechtsfähigkeit zu entziehen.,widerspruch
"Wer eine Forderung gegen den Schuldner erwerben will, muss die Forderung nicht gegen den Gläubiger anwenden.",Gläubiger die abgesonderte Befriedigung beanspruchen können sind Insolvenzgläubiger soweit ihnen der Schuldner auch persönlich haftet. Sie sind zur anteilsmäßigen Befriedigung aus der Insolvenzmasse jedoch nur berechtigt soweit sie auf eine abgesonderte Befriedigung verzichten oder bei ihr ausgefallen sind.,widerspruch
